Name,Statement,Branch,Complexity,Mutation
ArrayStack,0.75 ,0.62 ,16.00 ,0.00 
ArrayUtils,0.63 ,0.56 ,12.00 ,0.53 
ClosureUtils,1.00 ,1.00 ,18.00 ,1.00 
CollectionUtils,0.96 ,0.92 ,203.00 ,0.90 
ComparatorUtils,0.85 ,0.77 ,20.00 ,0.81 
EnumerationUtils,1.00 ,1.00 ,6.00 ,0.88 
FluentIterable,1.00 ,1.00 ,36.00 ,1.00 
IterableUtils,0.90 ,0.95 ,75.00 ,0.84 
IteratorUtils,0.71 ,0.70 ,141.00 ,0.78 
ListUtils,0.88 ,0.89 ,60.00 ,0.85 
MapUtils,0.92 ,0.94 ,168.00 ,0.89 
MultiMapUtils,0.72 ,0.80 ,22.00 ,0.68 
SetUtils,0.82 ,0.97 ,43.00 ,0.76 
SplitMapUtils,0.71 ,0.70 ,7.00 ,0.59 
TransformerUtils,1.00 ,1.00 ,25.00 ,1.00 
AbstractBagDecorator,0.81 ,1.00 ,11.00 ,0.67 
AbstractMapBag,0.97 ,0.90 ,68.00 ,0.55 
CollectionBag,0.92 ,0.87 ,23.00 ,0.79 
CollectionSortedBag,0.92 ,0.87 ,23.00 ,0.75 
PredicatedBag,1.00 ,1.00 ,11.00 ,0.18 
SynchronizedBag,0.95 ,1.00 ,11.00 ,0.10 
TransformedBag,1.00 ,0.87 ,14.00 ,0.07 
TransformedSortedBag,0.34 ,0.00 ,9.00 ,0.11 
TreeBag,0.92 ,1.00 ,13.00 ,0.38 
UnmodifiableBag,0.84 ,1.00 ,15.00 ,0.33 
UnmodifiableSortedBag,0.83 ,1.00 ,15.00 ,0.33 
AbstractDualBidiMap,1.00 ,1.00 ,34.00 ,0.11 
DualTreeBidiMap,0.85 ,0.83 ,26.00 ,0.00 
TreeBidiMap,0.92 ,0.88 ,193.00 ,0.00 
UnmodifiableBidiMap,1.00 ,1.00 ,14.00 ,0.00 
UnmodifiableOrderedBidiMap,1.00 ,1.00 ,15.00 ,0.00 
UnmodifiableSortedBidiMap,1.00 ,1.00 ,17.00 ,0.00 
AbstractCollectionDecorator,0.96 ,1.00 ,19.00 ,1.00 
CompositeCollection,0.88 ,0.98 ,53.00 ,0.72 
IndexedCollection,0.97 ,0.95 ,27.00 ,0.83 
PredicatedCollection,1.00 ,1.00 ,11.00 ,0.84 
SynchronizedCollection,0.95 ,0.75 ,26.00 ,0.88 
TransformedCollection,1.00 ,0.87 ,11.00 ,0.90 
UnmodifiableBoundedCollection,0.72 ,0.64 ,20.00 ,0.56 
UnmodifiableCollection,1.00 ,1.00 ,10.00 ,1.00 
BooleanComparator,0.91 ,0.92 ,17.00 ,0.76 
ComparableComparator,1.00 ,1.00 ,9.00 ,0.71 
ComparatorChain,0.75 ,0.64 ,39.00 ,0.54 
FixedOrderComparator,0.83 ,0.67 ,45.00 ,0.62 
NullComparator,0.68 ,0.66 ,19.00 ,0.45 
ReverseComparator,0.85 ,0.75 ,9.00 ,0.73 
TransformingComparator,0.87 ,0.59 ,16.00 ,0.57 
AllPredicate,1.00 ,1.00 ,10.00 ,1.00 
AndPredicate,0.74 ,0.87 ,8.00 ,0.86 
AnyPredicate,0.94 ,0.91 ,10.00 ,0.93 
ChainedClosure,0.95 ,1.00 ,12.00 ,0.85 
ChainedTransformer,0.95 ,1.00 ,11.00 ,0.83 
CloneTransformer,1.00 ,1.00 ,4.00 ,1.00 
ClosureTransformer,0.88 ,1.00 ,5.00 ,0.60 
ComparatorPredicate,0.76 ,0.85 ,16.00 ,1.00 
ConstantFactory,0.88 ,1.00 ,6.00 ,0.80 
ConstantTransformer,0.41 ,0.21 ,15.00 ,0.33 
DefaultEquator,0.86 ,0.75 ,9.00 ,0.63 
EqualPredicate,0.94 ,1.00 ,9.00 ,0.90 
FactoryTransformer,0.88 ,1.00 ,5.00 ,0.75 
ForClosure,0.86 ,1.00 ,9.00 ,0.85 
FunctorUtils,0.94 ,0.90 ,25.00 ,0.82 
IdentityPredicate,0.88 ,1.00 ,6.00 ,0.83 
IfClosure,0.64 ,0.62 ,12.00 ,0.73 
IfTransformer,0.82 ,0.83 ,13.00 ,0.77 
