ClassUtil,Statement_Coverage,Branch,CC,LOC,Mutation
PageManager,0.48,0.58,55,177,0.65
PageSorter,0.54,0.42,25,47,0.48
ReferenceManager,0.77,0.75,93,310,0.65
Release,0.91,0.84,27,31,0.86
TranslationsCheck,0,0,21,90,0
VariableManager,0.85,0.77,31,78,0.49
WatchDog,0.41,0.35,44,113,0.17
WikiBackgroundThread,0.56,0.66,14,42,0.33
WikiContext,0.64,0.46,68,179,0.53
WikiEngine,0.67,0.6,185,518,0.67
WikiPage,0.82,0.5,28,60,0.71
WikiServlet,0,0,7,22,0
WikiSession,0.85,0.76,95,222,0.83
AjaxUtil,0.5,0.56,12,27,0.53
WikiAjaxDispatcherServlet,0.26,0.14,20,56,0.24
AttachmentManager,0.75,0.64,54,136,0.8
AttachmentServlet,0,0,61,224,0
AuthenticationManager,0.7,0.66,67,192,0.78
AuthorizationManager,0.64,0.68,63,162,0.79
GroupPrincipal,0.63,0.75,7,12,0.86
SecurityVerifier,0,0,75,341,0
SessionMonitor,0.33,0.42,27,72,0.47
UserManager,0.48,0.33,68,177,0.49
WikiPrincipal,0.84,0.66,13,25,1
AclEntryImpl,0.58,0.6,19,34,0.7
AclImpl,0.87,0.83,24,54,0.96
DefaultAclManager,0.82,0.85,21,98,0.96
UnresolvedPrincipal,0.89,1,6,9,0.83
Group,0.86,0.73,37,66,0.78
GroupManager,0.66,0.68,60,199,0.84
JDBCGroupDatabase,0.83,0.69,32,225,0.63
Role,0.75,0.55,19,19,0.71
WebContainerAuthorizer,0.73,0.5,33,102,0.48
XMLGroupDatabase,0.73,0.62,35,160,0.91
AbstractLoginModule,0.49,0.44,17,48,0.36
AnonymousLoginModule,0.44,0.25,5,20,0.5
CookieAssertionLoginModule,0.46,0.58,12,35,0.58
CookieAuthenticationLoginModule,0.7,0.53,24,91,0.27
PrincipalWrapper,0,0,6,9,0
UserDatabaseLoginModule,0.66,0.5,7,30,1
WebContainerCallbackHandler,0.88,0.83,5,12,1
WebContainerLoginModule,0.48,0.57,10,31,0.75
WikiCallbackHandler,0.79,0.75,8,20,0.83
AllPermission,0.87,0.76,23,27,0.87
