GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Maven Model Builder,org.apache.maven.model.management,DefaultDependencyManagementInjector.ManagementModelMerger,84,9,11,1,21,4,8,2,2,2
Maven Model Builder,org.apache.maven.model.management,DefaultPluginManagementInjector.ManagementModelMerger,75,93,11,9,15,26,8,6,0,4
Maven Model Builder,org.apache.maven.model.management,DefaultPluginManagementInjector,0,13,0,0,0,4,0,2,0,2
Maven Model Builder,org.apache.maven.model.management,DefaultDependencyManagementInjector,0,13,0,0,0,4,0,2,0,2
Maven Model Builder,org.apache.maven.model.resolution,InvalidRepositoryException,18,0,0,0,7,0,3,0,3,0
Maven Model Builder,org.apache.maven.model.resolution,UnresolvableModelException,73,0,12,0,18,0,12,0,6,0
Maven Model Builder,org.apache.maven.model.merge,MavenModelMerger,546,566,91,73,116,153,74,50,6,36
Maven Model Builder,org.apache.maven.model.io,ModelParseException,30,0,0,0,11,0,4,0,4,0
Maven Model Builder,org.apache.maven.model.io,DefaultModelReader,33,86,1,9,5,15,2,10,1,6
Maven Model Builder,org.apache.maven.model.io,DefaultModelWriter,32,41,4,0,8,11,3,3,1,3
Maven Model Builder,org.apache.maven.model.profile.activation,PropertyProfileActivator,25,112,4,26,5,32,4,14,0,3
Maven Model Builder,org.apache.maven.model.profile.activation,OperatingSystemProfileActivator,188,15,54,2,47,6,34,2,6,2
Maven Model Builder,org.apache.maven.model.profile.activation,JdkVersionProfileActivator.RangeValue,3,10,0,0,1,4,1,1,1,1
Maven Model Builder,org.apache.maven.model.profile.activation,JdkVersionProfileActivator,46,286,8,50,9,58,7,30,0,8
Maven Model Builder,org.apache.maven.model.profile.activation,FileProfileActivator.new AbstractValueSource() {...},10,10,2,0,3,1,2,1,1,1
Maven Model Builder,org.apache.maven.model.profile.activation,FileProfileActivator,57,131,11,15,14,36,9,8,0,4
Maven Model Builder,org.apache.maven.model.path,DefaultModelPathTranslator,13,136,6,10,3,27,6,6,0,4
Maven Model Builder,org.apache.maven.model.path,DefaultPathTranslator,4,48,3,5,1,10,3,3,0,2
Maven Model Builder,org.apache.maven.model.path,DefaultUrlNormalizer,1,53,2,8,1,14,2,5,0,2
Maven Model Builder,org.apache.maven.model.path,DefaultModelUrlNormalizer,30,32,5,3,7,11,4,4,0,4
Maven Model Builder,org.apache.maven.model.building,ModelProblem.Severity,0,34,0,0,0,4,0,1,0,1
Maven Model Builder,org.apache.maven.model.building,FilterModelBuildingRequest,193,0,0,0,54,0,35,0,35,0
Maven Model Builder,org.apache.maven.model.building,DefaultModelProblem,124,0,12,0,31,0,17,0,11,0
Maven Model Builder,org.apache.maven.model.building,ModelCacheTag.new ModelCacheTag() {...},33,0,2,0,6,0,6,0,5,0
Maven Model Builder,org.apache.maven.model.building,ModelData,25,89,3,3,8,26,5,15,2,15
Maven Model Builder,org.apache.maven.model.building,FileModelSource,54,23,6,4,10,8,7,4,4,2
Maven Model Builder,org.apache.maven.model.building,DefaultModelBuildingResult,49,91,4,2,11,24,9,8,6,8
Maven Model Builder,org.apache.maven.model.building,ModelCacheTag.new ModelCacheTag() {...},18,0,2,0,5,0,6,0,5,0
Maven Model Builder,org.apache.maven.model.building,Result,330,0,38,0,61,0,38,0,19,0
Maven Model Builder,org.apache.maven.model.building,StringModelSource,10,0,0,0,4,0,2,0,2,0
Maven Model Builder,org.apache.maven.model.building,ModelProblemUtils,204,0,46,0,50,0,29,0,6,0
Maven Model Builder,org.apache.maven.model.building,ModelCacheTag,9,0,0,0,2,0,1,0,1,0
Maven Model Builder,org.apache.maven.model.building,ModelProblemCollectorRequest,9,36,0,0,3,12,3,6,3,6
Maven Model Builder,org.apache.maven.model.building,DefaultModelBuilder.new FilterModelBuildingRequest() {...},9,0,0,0,2,0,2,0,2,0
Maven Model Builder,org.apache.maven.model.building,ModelProblem.Version,0,44,0,0,0,5,0,1,0,1
Maven Model Builder,org.apache.maven.model.building,DefaultModelBuilderFactory.StubLifecycleBindingsInjector,0,1,0,0,0,1,0,1,0,1
Maven Model Builder,org.apache.maven.model.building,ModelBuildingEventCatapult,0,5,0,0,0,1,0,1,0,1
Maven Model Builder,org.apache.maven.model.building,ModelBuildingEventCatapult.new ModelBuildingEventCatapult() {...},4,3,0,0,2,1,1,1,1,1
Maven Model Builder,org.apache.maven.model.building,DefaultModelBuilder,1620,862,196,60,349,215,121,50,7,36
Maven Model Builder,org.apache.maven.model.building,DefaultModelProcessor,17,19,0,0,3,6,3,4,3,4
Maven Model Builder,org.apache.maven.model.building,DefaultModelBuilderFactory,0,263,0,2,0,51,0,25,0,24
Maven Model Builder,org.apache.maven.model.building,DefaultModelProblemCollector,201,62,23,5,50,18,22,7,9,6
Maven Model Builder,org.apache.maven.model.building,DefaultModelBuildingRequest,176,158,13,13,50,46,25,24,15,21
Maven Model Builder,org.apache.maven.model.building,DefaultModelBuildingEvent,21,0,0,0,8,0,4,0,4,0
Maven Model Builder,org.apache.maven.model.building,AbstractModelBuildingListener,4,0,0,0,2,0,2,0,2,0
Maven Model Builder,org.apache.maven.model.building,UrlModelSource,4,0,0,0,2,0,1,0,1,0
Maven Model Builder,org.apache.maven.model.building,ModelBuildingException,183,0,26,0,48,0,21,0,8,0
Maven Model Builder,org.apache.maven.model.profile,DefaultProfileInjector.ProfileModelMerger,389,10,38,0,85,3,24,2,5,2
Maven Model Builder,org.apache.maven.model.profile,DefaultProfileInjector,15,19,4,2,3,6,3,2,0,2
Maven Model Builder,org.apache.maven.model.profile,DefaultProfileSelector,30,165,6,24,7,36,6,14,0,5
Maven Model Builder,org.apache.maven.model.profile,DefaultProfileActivationContext,35,120,8,10,12,39,8,17,2,14
Maven Model Builder,org.apache.maven.model.inheritance,DefaultInheritanceAssembler.InheritanceModelMerger,84,419,21,41,16,92,17,23,0,9
Maven Model Builder,org.apache.maven.model.inheritance,DefaultInheritanceAssembler,17,117,3,13,2,25,3,8,0,3
Maven Model Builder,org.apache.maven.model.locator,DefaultModelLocator,6,3,0,0,1,1,1,1,1,1
Maven Model Builder,org.apache.maven.model.validation,DefaultModelValidator,465,2469,60,218,48,376,48,128,0,37
Maven Model Builder,org.apache.maven.model.normalization,DefaultModelNormalizer.DuplicateMerger,7,3,0,0,2,1,1,1,1,1
Maven Model Builder,org.apache.maven.model.normalization,DefaultModelNormalizer,42,111,8,12,8,27,7,7,0,4
Maven Model Builder,org.apache.maven.model.superpom,DefaultSuperPomProvider,30,82,2,2,3,18,2,3,0,3
Maven Model Builder,org.apache.maven.model.composition,DefaultDependencyManagementImporter,83,3,14,0,18,1,8,1,1,1
Maven Model Builder,org.apache.maven.model.plugin,DefaultReportConfigurationExpander,37,16,6,2,8,5,4,2,0,2
Maven Model Builder,org.apache.maven.model.plugin,DefaultPluginConfigurationExpander,0,66,2,8,0,19,2,6,0,3
Maven Model Builder,org.apache.maven.model.plugin,DefaultReportingConverter,240,231,39,19,51,58,29,9,2,7
Maven Model Builder,org.apache.maven.model.interpolation,StringSearchModelInterpolator.InterpolateObjectAction.MapField,1,67,1,13,1,20,1,8,0,2
Maven Model Builder,org.apache.maven.model.interpolation,StringSearchModelInterpolator.InterpolateObjectAction.StringField,0,27,0,4,0,9,0,4,0,2
Maven Model Builder,org.apache.maven.model.interpolation,AbstractStringBasedModelInterpolator,31,346,5,19,6,73,7,15,2,8
Maven Model Builder,org.apache.maven.model.interpolation,StringSearchModelInterpolator.InterpolateObjectAction,1,137,3,15,1,38,3,12,0,6
Maven Model Builder,org.apache.maven.model.interpolation,StringSearchModelInterpolator.InterpolateObjectAction.CacheField,56,31,0,0,8,10,0,2,0,2
Maven Model Builder,org.apache.maven.model.interpolation,StringSearchModelInterpolator.InterpolateObjectAction.CacheItem,5,157,1,25,1,28,1,17,0,5
Maven Model Builder,org.apache.maven.model.interpolation,MavenBuildTimestamp,12,48,1,5,4,14,3,6,2,4
Maven Model Builder,org.apache.maven.model.interpolation,UrlNormalizingPostProcessor,6,41,2,2,1,13,2,3,0,3
Maven Model Builder,org.apache.maven.model.interpolation,BuildTimestampValueSource,4,21,2,2,1,5,2,2,0,2
Maven Model Builder,org.apache.maven.model.interpolation,StringSearchModelInterpolator.InterpolateObjectAction.ListField,0,65,1,11,0,21,1,7,0,2
Maven Model Builder,org.apache.maven.model.interpolation,StringSearchModelInterpolator.InterpolateObjectAction.ObjectField,0,29,0,4,0,9,0,4,0,2
Maven Model Builder,org.apache.maven.model.interpolation,StringSearchModelInterpolator,0,58,0,0,0,14,0,5,0,5
Maven Model Builder,org.apache.maven.model.interpolation,AbstractStringBasedModelInterpolator.new AbstractValueSource() {...},0,23,0,0,0,2,0,2,0,2
Maven Model Builder,org.apache.maven.model.interpolation,AbstractStringBasedModelInterpolator.new AbstractValueSource() {...},0,20,0,2,0,4,0,3,0,2
Maven Model Builder,org.apache.maven.model.interpolation,AbstractStringBasedModelInterpolator.new AbstractValueSource() {...},7,16,1,1,1,3,1,2,0,2
Maven Model Builder,org.apache.maven.model.interpolation,ProblemDetectingValueSource,4,81,2,6,1,15,3,5,1,3
Maven Model Builder,org.apache.maven.model.interpolation,PathTranslatingPostProcessor,0,38,1,3,0,11,1,3,0,2
