GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons DBCP,org.apache.commons.dbcp2,DriverConnectionFactory,9,49,0,0,3,8,3,3,3,3
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingConnection,509,661,20,54,216,214,42,71,26,50
Apache Commons DBCP,org.apache.commons.dbcp2,ObjectNameWrapper,34,69,3,9,8,21,3,13,0,10
Apache Commons DBCP,org.apache.commons.dbcp2,DataSourceConnectionFactory,9,54,0,4,3,15,3,6,3,4
Apache Commons DBCP,org.apache.commons.dbcp2,PoolableCallableStatement,21,79,5,7,7,25,5,5,0,4
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey.PreparedCallWithResultSetConcurrency,0,20,0,0,0,2,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey,381,755,31,81,108,189,32,60,12,24
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey.PreparedCallSQL,0,12,0,0,0,2,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingCallableStatement,604,1011,0,0,302,362,0,123,0,123
Apache Commons DBCP,org.apache.commons.dbcp2,BasicDataSource,617,1287,73,119,155,417,93,140,27,110
Apache Commons DBCP,org.apache.commons.dbcp2,PoolableConnectionFactory,87,501,11,47,28,151,27,56,17,37
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingConnection.StatementType,0,24,0,0,0,3,0,1,0,1
Apache Commons DBCP,org.apache.commons.dbcp2,ListException,0,10,0,0,0,4,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,BasicDataSource.PaGetConnection,11,0,0,0,2,0,2,0,2,0
Apache Commons DBCP,org.apache.commons.dbcp2,SwallowedExceptionLogger,0,27,1,3,0,9,1,4,0,3
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingDriver.PoolGuardConnectionWrapper,11,17,3,1,4,6,3,2,1,2
Apache Commons DBCP,org.apache.commons.dbcp2,LifetimeExceededException,0,7,0,0,0,4,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingDataSource.PoolGuardConnectionWrapper,0,42,0,8,0,10,0,9,0,5
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey.PreparedStatementWithColumnNames,0,15,0,0,0,2,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey.PreparedCallWithResultSetHoldability,0,24,0,0,0,3,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingDatabaseMetaData,1158,1012,8,8,529,234,6,184,2,180
Apache Commons DBCP,org.apache.commons.dbcp2,DriverManagerConnectionFactory,9,96,0,6,3,31,3,9,3,6
Apache Commons DBCP,org.apache.commons.dbcp2,BasicDataSourceFactory,138,914,29,113,34,198,25,53,1,6
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey.PreparedStatementWithAutoGeneratedKeys,0,16,0,0,0,2,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingStatement,299,569,11,25,139,195,13,71,3,63
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey.PreparedStatementWithResultSetHoldability,0,24,0,0,0,3,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,Constants,0,3,0,0,0,1,0,1,0,1
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey.PreparedStatementWithResultSetConcurrency,0,20,0,0,0,2,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,PoolablePreparedStatement,21,99,5,9,7,34,5,8,0,6
Apache Commons DBCP,org.apache.commons.dbcp2,Utils,9,118,6,14,6,34,6,14,0,10
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingPreparedStatement,252,558,4,4,122,231,4,61,0,61
Apache Commons DBCP,org.apache.commons.dbcp2,AbandonedTrace,0,156,0,14,0,51,0,17,0,10
Apache Commons DBCP,org.apache.commons.dbcp2,BasicDataSourceMXBean,0,2,0,0,0,1,0,1,0,1
Apache Commons DBCP,org.apache.commons.dbcp2,DelegatingResultSet,1020,1270,12,18,494,418,13,205,6,197
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingConnection,201,359,8,12,66,67,9,31,1,29
Apache Commons DBCP,org.apache.commons.dbcp2,Jdbc41Bridge,421,35,90,0,122,12,50,8,5,8
Apache Commons DBCP,org.apache.commons.dbcp2,PoolableConnection,81,210,10,36,29,75,13,23,4,9
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey.PreparedStatementWithColumnIndexes,0,15,0,0,0,2,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,PStmtKey.PreparedStatementSQL,0,12,0,0,0,2,0,2,0,2
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingDriver,69,131,3,9,19,38,9,13,6,10
Apache Commons DBCP,org.apache.commons.dbcp2,PoolingDataSource,65,96,2,4,20,29,8,10,6,9
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,PoolKey,0,120,0,22,0,32,0,15,0,4
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,PerUserPoolDataSource,105,1348,13,161,25,399,12,147,1,71
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,CPDSConnectionFactory,261,278,16,14,67,91,14,21,1,19
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,InstanceKeyDataSourceFactory,300,275,91,43,49,89,63,12,2,6
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,InstanceKeyDataSource,474,547,14,40,119,198,17,79,6,63
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,PerUserPoolDataSourceFactory,106,71,27,9,15,23,18,4,0,4
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,PooledConnectionAndInfo,10,32,0,0,3,10,2,5,2,5
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,SharedPoolDataSource,63,237,4,14,15,63,5,17,2,11
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,SharedPoolDataSourceFactory,9,23,3,1,1,7,2,4,0,4
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,UserPassKey,0,109,0,14,0,33,0,16,0,9
Apache Commons DBCP,org.apache.commons.dbcp2.datasources,KeyedCPDSConnectionFactory,138,278,11,15,35,90,11,17,1,14
Apache Commons DBCP,org.apache.commons.dbcp2.cpdsadapter,PStmtKeyCPDS,36,0,0,0,12,0,6,0,6,0
Apache Commons DBCP,org.apache.commons.dbcp2.cpdsadapter,DriverAdapterCPDS,185,653,29,45,42,172,27,52,1,41
Apache Commons DBCP,org.apache.commons.dbcp2.cpdsadapter,ConnectionImpl,64,143,3,3,31,34,3,14,1,13
Apache Commons DBCP,org.apache.commons.dbcp2.cpdsadapter,PooledConnectionImpl,234,525,9,37,73,99,12,51,4,36
Apache Commons DBCP,org.apache.commons.dbcp2.managed,ManagedDataSource,8,44,1,5,2,12,2,5,1,3
Apache Commons DBCP,org.apache.commons.dbcp2.managed,LocalXAConnectionFactory.LocalXAResource,19,257,0,28,7,59,0,26,0,12
Apache Commons DBCP,org.apache.commons.dbcp2.managed,DataSourceXAConnectionFactory.new ConnectionEventListener() {...},10,17,0,0,5,6,1,2,1,2
Apache Commons DBCP,org.apache.commons.dbcp2.managed,ManagedConnection.CompletionListener,0,15,0,2,0,4,0,3,0,2
Apache Commons DBCP,org.apache.commons.dbcp2.managed,BasicManagedDataSource,38,224,0,8,6,62,0,17,0,13
Apache Commons DBCP,org.apache.commons.dbcp2.managed,DataSourceXAConnectionFactory,51,75,1,1,15,20,10,5,9,5
Apache Commons DBCP,org.apache.commons.dbcp2.managed,PoolableManagedConnectionFactory,31,96,2,4,8,25,3,3,1,2
Apache Commons DBCP,org.apache.commons.dbcp2.managed,TransactionContext.new Synchronization() {...},0,22,0,2,0,4,0,4,0,3
Apache Commons DBCP,org.apache.commons.dbcp2.managed,TransactionRegistry,9,130,1,7,3,35,1,10,0,7
Apache Commons DBCP,org.apache.commons.dbcp2.managed,LocalXAConnectionFactory,3,39,0,0,1,11,1,3,1,3
Apache Commons DBCP,org.apache.commons.dbcp2.managed,PoolableManagedConnection,3,26,0,0,1,8,1,3,1,3
Apache Commons DBCP,org.apache.commons.dbcp2.managed,TransactionContext,39,143,5,15,11,42,5,14,0,9
Apache Commons DBCP,org.apache.commons.dbcp2.managed,ManagedConnection,38,248,5,41,17,80,7,30,3,11
